660nm,730nm,850nm,940nm
16367.000000,29967.000000,32904.000000,9895.000000
16341.000000,29946.000000,32880.000000,9840.000000
16321.000000,29929.000000,32862.000000,9791.000000
16304.000000,29917.000000,32849.000000,9747.000000
16285.000000,29906.000000,32838.000000,9711.000000
16272.000000,29898.000000,32830.000000,9687.000000
16268.000000,29896.000000,32833.000000,9673.000000
16275.000000,29903.000000,32854.000000,9668.000000
16296.000000,29919.000000,32896.000000,9674.000000
16331.000000,29948.000000,32960.000000,9706.000000
16380.000000,29986.000000,33041.000000,9774.000000
16439.000000,30033.000000,33137.000000,9871.000000
16508.000000,30087.000000,33247.000000,9975.000000
16588.000000,30143.000000,33363.000000,10075.000000
16678.000000,30202.000000,33485.000000,10183.000000
16774.000000,30268.000000,33611.000000,10316.000000
16875.000000,30339.000000,33739.000000,10469.000000
16982.000000,30416.000000,33870.000000,10625.000000
17090.000000,30496.000000,34003.000000,10767.000000
17195.000000,30573.000000,34129.000000,10881.000000
17289.000000,30643.000000,34240.000000,10971.000000
17366.000000,30703.000000,34333.000000,11055.000000
17432.000000,30749.000000,34411.000000,11141.000000
17490.000000,30784.000000,34477.000000,11230.000000
17540.000000,30815.000000,34535.000000,11318.000000
17582.000000,30839.000000,34581.000000,11401.000000
17617.000000,30859.000000,34615.000000,11473.000000
17645.000000,30879.000000,34647.000000,11530.000000
17664.000000,30894.000000,34677.000000,11575.000000
17673.000000,30896.000000,34697.000000,11601.000000
17679.000000,30888.000000,34706.000000,11606.000000
17683.000000,30878.000000,34712.000000,11620.000000
17683.000000,30871.000000,34717.000000,11647.000000
17681.000000,30866.000000,34721.000000,11677.000000
17679.000000,30863.000000,34724.000000,11698.000000
17683.000000,30862.000000,34724.000000,11698.000000
17690.000000,30865.000000,34725.000000,11679.000000
17699.000000,30870.000000,34728.000000,11652.000000
17705.000000,30873.000000,34730.000000,11624.000000
17711.000000,30876.000000,34730.000000,11608.000000
17716.000000,30880.000000,34730.000000,11609.000000
17720.000000,30887.000000,34734.000000,11619.000000
17725.000000,30896.000000,34744.000000,11636.000000
17736.000000,30906.000000,34759.000000,11654.000000
17750.000000,30916.000000,34774.000000,11651.000000
17765.000000,30925.000000,34790.000000,11625.000000
17782.000000,30932.000000,34807.000000,11591.000000
17799.000000,30939.000000,34826.000000,11570.000000
17813.000000,30947.000000,34850.000000,11575.000000
17826.000000,30956.000000,34876.000000,11603.000000
17841.000000,30965.000000,34904.000000,11656.000000
17861.000000,30976.000000,34936.000000,11740.000000
17881.000000,30989.000000,34971.000000,11829.000000
17897.000000,31003.000000,35001.000000,11903.000000
17918.000000,31019.000000,35027.000000,11950.000000
17944.000000,31034.000000,35050.000000,11964.000000
17962.000000,31044.000000,35068.000000,11959.000000
17974.000000,31053.000000,35084.000000,11969.000000
17990.000000,31065.000000,35096.000000,11995.000000
18010.000000,31072.000000,35101.000000,12010.000000
18027.000000,31071.000000,35100.000000,11999.000000
18037.000000,31064.000000,35090.000000,11972.000000
18043.000000,31060.000000,35073.000000,11950.000000
18048.000000,31061.000000,35057.000000,11938.000000
18053.000000,31065.000000,35044.000000,11927.000000
18058.000000,31066.000000,35033.000000,11917.000000
18062.000000,31065.000000,35030.000000,11918.000000
18061.000000,31065.000000,35030.000000,11927.000000
18053.000000,31064.000000,35023.000000,11920.000000
18042.000000,31062.000000,35008.000000,11906.000000
18029.000000,31057.000000,34991.000000,11906.000000
18017.000000,31052.000000,34977.000000,11905.000000
18007.000000,31050.000000,34967.000000,11890.000000
17998.000000,31050.000000,34958.000000,11868.000000
17993.000000,31050.000000,34951.000000,11850.000000
17988.000000,31050.000000,34947.000000,11829.000000
17979.000000,31048.000000,34946.000000,11796.000000
17972.000000,31044.000000,34944.000000,11750.000000
17970.000000,31043.000000,34944.000000,11704.000000
17968.000000,31042.000000,34944.000000,11671.000000
17963.000000,31037.000000,34939.000000,11649.000000
17954.000000,31030.000000,34928.000000,11635.000000
17951.000000,31025.000000,34918.000000,11633.000000
17948.000000,31017.000000,34911.000000,11636.000000
17935.000000,31005.000000,34903.000000,11638.000000
17919.000000,30994.000000,34892.000000,11650.000000
17907.000000,30988.000000,34878.000000,11674.000000
17899.000000,30982.000000,34862.000000,11691.000000
17894.000000,30974.000000,34846.000000,11691.000000
17888.000000,30964.000000,34829.000000,11684.000000
17880.000000,30954.000000,34813.000000,11671.000000
17872.000000,30946.000000,34798.000000,11647.000000
17862.000000,30940.000000,34780.000000,11622.000000
17855.000000,30935.000000,34761.000000,11597.000000
17855.000000,30932.000000,34750.000000,11565.000000
17853.000000,30931.000000,34748.000000,11524.000000
17842.000000,30930.000000,34742.000000,11474.000000
17827.000000,30931.000000,34729.000000,11437.000000
17814.000000,30934.000000,34718.000000,11434.000000
17801.000000,30932.000000,34713.000000,11447.000000
17789.000000,30927.000000,34708.000000,11455.000000
17778.000000,30921.000000,34694.000000,11453.000000
17766.000000,30912.000000,34674.000000,11453.000000
17752.000000,30903.000000,34655.000000,11451.000000
17739.000000,30895.000000,34640.000000,11434.000000
